subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,19,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,20,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,33,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,44,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,53,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,58,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,60,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,63,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,64,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,68,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,77,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,91,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,103,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,106,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,113,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,128,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,131,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,141,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,146,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,153,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,173,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,194,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,199,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,206,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,211,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,216,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,229,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,241,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,246,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,260,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,267,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,273,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,288,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,294,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,315,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,321,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/report_generator.py,7,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/report_generator.py,22,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/report_generator.py,23,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/report_generator.py,123,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,12,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,29,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,388,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,389,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,390,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,400,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,401,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,402,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,450,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,451,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,10,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,11,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,12,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,33,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,59,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,64,2,0,0,0
